StudentID,Name,Department,Age,Marks
1,Rahul,IT,20,85
2,Priya,CSE,21,90
3,Amit,IT,20,78
4,Sneha,CSE,22,88
5,Karan,AI,21,92
6,Neha,IT,20,76
7,Rohit,CSE,23,81
8,Pooja,AI,21,95
9,Arjun,IT,22,84
10,Kavya,CSE,20,79
11,Vikram,AI,21,91
12,Anjali,IT,22,87
13,Sagar,CSE,20,73
14,Meera,AI,23,89
15,Nikhil,IT,21,82
16,Riya,CSE,20,77
17,Aditya,AI,22,94
18,Simran,IT,21,80
19,Manish,CSE,23,86
20,Isha,AI,20,83
21,Varun,IT,22,88
22,Aarti,CSE,21,90
23,Deepak,AI,20,75
24,Shreya,IT,23,92
25,Harsh,CSE,21,81
26,Tanvi,AI,22,84
27,Yash,IT,20,79
28,Komal,CSE,23,93
29,Siddharth,AI,21,85
30,Naina,IT,22,87
